price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,pctChange,changeCategory
293.950012,294,277.670013,281.829987,9814200,281.829987,10/4/2018,TSLA,-0.043995935,-0.043995935,-2.267836521,D
274.649994,274.880005,260,261.950012,17944500,261.950012,10/5/2018,TSLA,-0.070538892,-0.070538892,-0.246501789,E
264.519989,267.76001,249,250.559998,13472700,250.559998,10/8/2018,TSLA,-0.043481632,-0.043481632,0.703252624,U
255.25,266.769989,253.300003,262.799988,12060600,262.799988,10/9/2018,TSLA,0.048850535,0.048850535,1.056118875,U
264.609985,265.51001,247.770004,256.880005,12815300,256.880005,10/10/2018,TSLA,-0.022526573,-0.022526573,1.134625307,U
257.529999,262.25,249.029999,252.229996,8167700,252.229996,10/11/2018,TSLA,-0.018101872,-0.018101872,0.88547519,U
261,261.98999,252.009995,258.779999,7201400,258.779999,10/12/2018,TSLA,0.025968375,0.025968375,0.092037922,E
259.059998,263.279999,254.539993,259.589996,6200000,259.589996,10/15/2018,TSLA,0.00313006,0.00313006,0.102460993,E
265.700012,277.380005,262.23999,276.589996,9526400,276.589996,10/16/2018,TSLA,0.065487886,0.065487886,1.294113967,U
282.399994,282.700012,265.799988,271.779999,8655500,271.779999,10/17/2018,TSLA,-0.017390351,-0.017390351,1.22395203,U
269.290009,271,263,263.910004,5421200,263.910004,10/18/2018,TSLA,-0.028957227,-0.028957227,3.634179166,U
267.390015,269.660004,253.5,260,9375500,260,10/19/2018,TSLA,-0.014815672,-0.014815672,4.863520308,U
260.679993,261.859985,252.589996,260.950012,5600300,260.950012,10/22/2018,TSLA,0.003653892,0.003653892,4.86130864,U
263.869995,297.929993,262.100006,294.140015,19027800,294.140015,10/23/2018,TSLA,0.127189122,0.127189122,2.266697036,U
301.049988,304.440002,285.730011,288.5,20058300,288.5,10/24/2018,TSLA,-0.019174593,-0.019174593,3.0255178,U
317.220001,321,301.01001,314.859985,20840700,314.859985,10/25/2018,TSLA,0.091369099,0.091369099,1.772192151,U
308.25,339.899994,306.649994,330.899994,27425500,330.899994,10/26/2018,TSLA,0.050943307,0.050943307,0.919720307,U
337.470001,347.160004,326.5,334.850006,14486000,334.850006,10/29/2018,TSLA,0.011937178,0.011937178,0.386399574,E
328.390015,337.899994,322.26001,329.899994,9126700,329.899994,10/30/2018,TSLA,-0.014782774,-0.014782774,0.656351781,U
332.540009,342,329.100006,337.320007,7624300,337.320007,10/31/2018,TSLA,0.022491704,0.022491704,0.631876363,U
338.26001,347.839996,334.730011,344.279999,8000100,344.279999,11/1/2018,TSLA,0.020633202,0.020633202,0.412213673,E
343.73999,349.200012,340.910004,346.410004,7808000,346.410004,11/2/2018,TSLA,0.006186839,0.006186839,0.236659413,E
